2023-03-10 19:07:47.646666 Epoch [013/025], Step [0180/0253], [lateral-3: 0.3199], [lateral-2: 0.2545], [lateral-1: 0.2489], [edge: 0.3000]
2023-03-10 19:08:12.841920 Epoch [013/025], Step [0240/0253], [lateral-3: 0.3188], [lateral-2: 0.2531], [lateral-1: 0.2475], [edge: 0.2985]
2023-03-10 19:08:18.079742 Epoch [013/025], Step [0253/0253], [lateral-3: 0.3180], [lateral-2: 0.2526], [lateral-1: 0.2470], [edge: 0.2983]
2023-03-10 19:08:44.187561 Epoch [014/025], Step [0060/0253], [lateral-3: 0.3087], [lateral-2: 0.2416], [lateral-1: 0.2353], [edge: 0.2862]
2023-03-10 19:09:09.329203 Epoch [014/025], Step [0120/0253], [lateral-3: 0.3078], [lateral-2: 0.2412], [lateral-1: 0.2348], [edge: 0.2877]
2023-03-10 19:09:34.579753 Epoch [014/025], Step [0180/0253], [lateral-3: 0.3052], [lateral-2: 0.2390], [lateral-1: 0.2322], [edge: 0.2877]
2023-03-10 19:09:59.791836 Epoch [014/025], Step [0240/0253], [lateral-3: 0.3062], [lateral-2: 0.2398], [lateral-1: 0.2324], [edge: 0.2878]
2023-03-10 19:10:05.050165 Epoch [014/025], Step [0253/0253], [lateral-3: 0.3065], [lateral-2: 0.2400], [lateral-1: 0.2326], [edge: 0.2884]
[Saving Snapshot:]checkpoints/BGNet/BGNet-14.pth
2023-03-10 19:10:31.932177 Epoch [015/025], Step [0060/0253], [lateral-3: 0.2881], [lateral-2: 0.2210], [lateral-1: 0.2125], [edge: 0.2820]
2023-03-10 19:10:57.138975 Epoch [015/025], Step [0120/0253], [lateral-3: 0.2962], [lateral-2: 0.2284], [lateral-1: 0.2194], [edge: 0.2809]
2023-03-10 19:11:22.288714 Epoch [015/025], Step [0180/0253], [lateral-3: 0.2978], [lateral-2: 0.2303], [lateral-1: 0.2210], [edge: 0.2801]
2023-03-10 19:11:47.473546 Epoch [015/025], Step [0240/0253], [lateral-3: 0.2973], [lateral-2: 0.2302], [lateral-1: 0.2209], [edge: 0.2804]
2023-03-10 19:11:52.703649 Epoch [015/025], Step [0253/0253], [lateral-3: 0.2971], [lateral-2: 0.2299], [lateral-1: 0.2205], [edge: 0.2802]
2023-03-10 19:12:19.149951 Epoch [016/025], Step [0060/0253], [lateral-3: 0.2855], [lateral-2: 0.2170], [lateral-1: 0.2067], [edge: 0.2702]
2023-03-10 19:12:44.354247 Epoch [016/025], Step [0120/0253], [lateral-3: 0.2881], [lateral-2: 0.2194], [lateral-1: 0.2087], [edge: 0.2732]
2023-03-10 19:13:09.514076 Epoch [016/025], Step [0180/0253], [lateral-3: 0.2889], [lateral-2: 0.2202], [lateral-1: 0.2095], [edge: 0.2733]
2023-03-10 19:13:34.680206 Epoch [016/025], Step [0240/0253], [lateral-3: 0.2888], [lateral-2: 0.2208], [lateral-1: 0.2099], [edge: 0.2741]
2023-03-10 19:13:39.929245 Epoch [016/025], Step [0253/0253], [lateral-3: 0.2891], [lateral-2: 0.2211], [lateral-1: 0.2101], [edge: 0.2738]
2023-03-10 19:14:06.205870 Epoch [017/025], Step [0060/0253], [lateral-3: 0.2795], [lateral-2: 0.2115], [lateral-1: 0.2011], [edge: 0.2692]
